Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.616,0.052,0.6126
Layer 1,1,0.6872,0.0448,0.6865
Layer 2,2,0.7153,0.0244,0.7136
Layer 3,3,0.7765,0.0136,0.7716
Layer 4,4,0.7732,0.0161,0.7699
Layer 5,5,0.7964,0.0185,0.7952
Layer 6,6,0.8593,0.017,0.8594
Layer 7,7,0.8592,0.0264,0.8591
Layer 8,8,0.8791,0.022,0.8793
Layer 9,9,0.8841,0.0335,0.8832
Layer 10,10,0.8758,0.025,0.8754
Layer 11,11,0.8643,0.0192,0.8642
Layer 12,12,0.8527,0.0355,0.8528
Layer 13,13,0.8494,0.0338,0.8493
Layer 14,14,0.8113,0.0368,0.8106
Layer 15,15,0.7931,0.0355,0.7928
Layer 16,16,0.7882,0.032,0.7883
Layer 17,17,0.7848,0.0235,0.7859
Layer 18,18,0.7633,0.0187,0.7624
Layer 19,19,0.7732,0.0252,0.772
Layer 20,20,0.7799,0.0435,0.7805
Layer 21,21,0.7799,0.0254,0.7789
Layer 22,22,0.7534,0.0325,0.752
Layer 23,23,0.7566,0.028,0.755
Layer 24,24,0.7698,0.0173,0.7667
