Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8316,0.0261,0.8311
Layer 1,1,0.8972,0.0229,0.8973
Layer 2,2,0.9244,0.0113,0.9245
Layer 3,3,0.9275,0.011,0.9275
Layer 4,4,0.9452,0.0097,0.9452
Layer 5,5,0.9573,0.0075,0.9571
Layer 6,6,0.9633,0.0081,0.9633
Layer 7,7,0.962,0.0138,0.962
Layer 8,8,0.962,0.0065,0.9621
Layer 9,9,0.9646,0.0065,0.9648
Layer 10,10,0.9693,0.0102,0.9695
Layer 11,11,0.9663,0.0087,0.9665
Layer 12,12,0.9685,0.0074,0.9686
Layer 13,13,0.968,0.0103,0.968
Layer 14,14,0.9689,0.0073,0.9689
Layer 15,15,0.9655,0.0088,0.9654
Layer 16,16,0.968,0.0074,0.9681
Layer 17,17,0.9737,0.0072,0.9737
Layer 18,18,0.9732,0.0079,0.9733
Layer 19,19,0.9693,0.0046,0.9694
Layer 20,20,0.9685,0.0078,0.9685
Layer 21,21,0.9676,0.0081,0.9676
Layer 22,22,0.9672,0.0034,0.9672
Layer 23,23,0.9633,0.006,0.9633
Layer 24,24,0.9624,0.0072,0.9625
