Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3042,0.0775,0.3069
Layer 1,1,0.3604,0.0795,0.351
Layer 2,2,0.3833,0.0529,0.3765
Layer 3,3,0.4021,0.0252,0.3983
Layer 4,4,0.4125,0.0631,0.3997
Layer 5,5,0.3875,0.0576,0.3793
Layer 6,6,0.3958,0.0551,0.3882
Layer 7,7,0.4375,0.0456,0.4299
Layer 8,8,0.4458,0.0775,0.4397
Layer 9,9,0.4021,0.05,0.3935
Layer 10,10,0.4062,0.0411,0.3983
Layer 11,11,0.4229,0.0299,0.4064
Layer 12,12,0.4312,0.0364,0.4212
Layer 13,13,0.4562,0.0332,0.4466
Layer 14,14,0.4312,0.0399,0.4231
Layer 15,15,0.4292,0.0533,0.418
Layer 16,16,0.4375,0.0531,0.4291
Layer 17,17,0.4,0.0455,0.383
Layer 18,18,0.3833,0.0345,0.3787
Layer 19,19,0.3604,0.0517,0.3584
Layer 20,20,0.3583,0.0234,0.3511
Layer 21,21,0.3333,0.0578,0.3291
Layer 22,22,0.2958,0.0588,0.2866
Layer 23,23,0.2688,0.0429,0.2644
Layer 24,24,0.2146,0.0284,0.2069
