Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5017,0.0286,0.5004
Layer 1,1,0.5691,0.0279,0.5684
Layer 2,2,0.585,0.0272,0.5841
Layer 3,3,0.6321,0.0257,0.6318
Layer 4,4,0.6455,0.0274,0.6446
Layer 5,5,0.6697,0.025,0.6692
Layer 6,6,0.6939,0.0189,0.6931
Layer 7,7,0.7185,0.0289,0.7168
Layer 8,8,0.747,0.0344,0.7465
Layer 9,9,0.7483,0.0289,0.7472
Layer 10,10,0.7319,0.018,0.7314
Layer 11,11,0.7401,0.0248,0.7395
Layer 12,12,0.7383,0.0207,0.7379
Layer 13,13,0.7323,0.0171,0.7324
Layer 14,14,0.7327,0.021,0.7321
Layer 15,15,0.7275,0.0212,0.7275
Layer 16,16,0.7133,0.0109,0.7128
Layer 17,17,0.6865,0.021,0.6848
Layer 18,18,0.6563,0.0297,0.6558
Layer 19,19,0.652,0.0169,0.6512
Layer 20,20,0.636,0.0195,0.6347
Layer 21,21,0.6244,0.0121,0.6235
Layer 22,22,0.5812,0.0135,0.5822
Layer 23,23,0.5263,0.012,0.5251
Layer 24,24,0.4901,0.0149,0.4896
