Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5663,0.0564,0.5661
Layer 1,1,0.6822,0.0316,0.6795
Layer 2,2,0.702,0.0341,0.7
Layer 3,3,0.7483,0.0368,0.7486
Layer 4,4,0.8229,0.0218,0.8216
Layer 5,5,0.8543,0.0264,0.8513
Layer 6,6,0.8709,0.0154,0.8696
Layer 7,7,0.8692,0.0191,0.8672
Layer 8,8,0.8825,0.0204,0.8801
Layer 9,9,0.899,0.0143,0.8981
Layer 10,10,0.9023,0.0339,0.9013
Layer 11,11,0.904,0.0125,0.9028
Layer 12,12,0.9172,0.0218,0.9163
Layer 13,13,0.9205,0.0194,0.9196
Layer 14,14,0.9073,0.0258,0.9068
Layer 15,15,0.8957,0.0199,0.8946
Layer 16,16,0.9007,0.0127,0.8997
Layer 17,17,0.9023,0.0243,0.9017
Layer 18,18,0.894,0.0083,0.8937
Layer 19,19,0.8973,0.0223,0.8966
Layer 20,20,0.9006,0.012,0.8999
Layer 21,21,0.904,0.0113,0.9035
Layer 22,22,0.8592,0.0191,0.8587
Layer 23,23,0.856,0.0249,0.8551
Layer 24,24,0.8427,0.0326,0.8423
