Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7757,0.0229,0.7706
Layer 1,1,0.8636,0.0255,0.8612
Layer 2,2,0.9252,0.0156,0.9248
Layer 3,3,0.9402,0.0095,0.9398
Layer 4,4,0.9327,0.0092,0.9322
Layer 5,5,0.9477,0.0316,0.9469
Layer 6,6,0.957,0.0268,0.9566
Layer 7,7,0.9477,0.0281,0.9474
Layer 8,8,0.9589,0.0311,0.9585
Layer 9,9,0.9645,0.0216,0.9644
Layer 10,10,0.9645,0.015,0.9643
Layer 11,11,0.9589,0.0192,0.9586
Layer 12,12,0.9645,0.015,0.9643
Layer 13,13,0.9589,0.0152,0.9585
Layer 14,14,0.9551,0.0161,0.9545
Layer 15,15,0.9589,0.0127,0.9583
Layer 16,16,0.9589,0.0095,0.9586
Layer 17,17,0.957,0.0095,0.9564
Layer 18,18,0.9439,0.0196,0.9435
Layer 19,19,0.9383,0.0163,0.9378
Layer 20,20,0.9533,0.0059,0.9523
Layer 21,21,0.9477,0.014,0.9472
Layer 22,22,0.9364,0.0208,0.936
Layer 23,23,0.929,0.0226,0.9282
Layer 24,24,0.9196,0.0173,0.9184
