Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4971,0.012,0.4956
Layer 1,1,0.5333,0.0189,0.5335
Layer 2,2,0.5403,0.0167,0.5401
Layer 3,3,0.5522,0.0125,0.552
Layer 4,4,0.5619,0.0165,0.5613
Layer 5,5,0.5764,0.0133,0.5762
Layer 6,6,0.5872,0.0176,0.5869
Layer 7,7,0.5767,0.0177,0.5765
Layer 8,8,0.5973,0.0135,0.5971
Layer 9,9,0.6059,0.0146,0.6057
Layer 10,10,0.6201,0.0169,0.6199
Layer 11,11,0.62,0.019,0.6197
Layer 12,12,0.6233,0.0122,0.6228
Layer 13,13,0.6214,0.0094,0.6209
Layer 14,14,0.624,0.013,0.6238
Layer 15,15,0.6225,0.0221,0.6221
Layer 16,16,0.6201,0.019,0.6194
Layer 17,17,0.6222,0.0181,0.6216
Layer 18,18,0.6179,0.0217,0.6175
Layer 19,19,0.6181,0.0167,0.6178
Layer 20,20,0.6249,0.0157,0.6246
Layer 21,21,0.622,0.0219,0.6217
Layer 22,22,0.6262,0.0181,0.6259
Layer 23,23,0.628,0.0168,0.6278
Layer 24,24,0.6267,0.0095,0.6263
