Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5907,0.0662,0.5827
Layer 1,1,0.6673,0.049,0.6632
Layer 2,2,0.7383,0.0213,0.731
Layer 3,3,0.772,0.042,0.7677
Layer 4,4,0.8037,0.0502,0.7985
Layer 5,5,0.8,0.0201,0.7988
Layer 6,6,0.8224,0.0369,0.8209
Layer 7,7,0.8561,0.0386,0.8546
Layer 8,8,0.8374,0.0377,0.8344
Layer 9,9,0.8673,0.026,0.8637
Layer 10,10,0.8748,0.0429,0.8712
Layer 11,11,0.8785,0.0369,0.8765
Layer 12,12,0.8617,0.0326,0.8595
Layer 13,13,0.8766,0.015,0.8756
Layer 14,14,0.8523,0.015,0.8511
Layer 15,15,0.8243,0.0254,0.8216
Layer 16,16,0.8243,0.0254,0.8217
Layer 17,17,0.815,0.0361,0.8126
Layer 18,18,0.7925,0.0286,0.7903
Layer 19,19,0.8131,0.0244,0.8087
Layer 20,20,0.8224,0.0145,0.8178
Layer 21,21,0.8019,0.0161,0.7975
Layer 22,22,0.8168,0.0316,0.8133
Layer 23,23,0.7963,0.0463,0.7923
Layer 24,24,0.7421,0.0464,0.7362
