Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3042,0.0135,0.2938
Layer 1,1,0.4344,0.003,0.4341
Layer 2,2,0.4815,0.0141,0.4812
Layer 3,3,0.5291,0.0149,0.5287
Layer 4,4,0.5355,0.018,0.5352
Layer 5,5,0.5449,0.0176,0.5442
Layer 6,6,0.5502,0.0102,0.5498
Layer 7,7,0.5548,0.0085,0.5541
Layer 8,8,0.5447,0.0106,0.5443
Layer 9,9,0.5615,0.0124,0.5615
Layer 10,10,0.5599,0.0118,0.5597
Layer 11,11,0.5381,0.0122,0.5379
Layer 12,12,0.5339,0.0112,0.5334
Layer 13,13,0.5344,0.0138,0.5339
Layer 14,14,0.5465,0.0166,0.5461
Layer 15,15,0.5495,0.021,0.5489
Layer 16,16,0.5632,0.0109,0.563
Layer 17,17,0.5601,0.0248,0.5598
Layer 18,18,0.5513,0.0322,0.5509
Layer 19,19,0.5381,0.0156,0.5379
Layer 20,20,0.5322,0.0146,0.5321
Layer 21,21,0.5201,0.019,0.5197
Layer 22,22,0.4925,0.0117,0.4917
Layer 23,23,0.4604,0.0099,0.46
Layer 24,24,0.4562,0.0112,0.4559
