Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4583,0.0417,0.4513
Layer 1,1,0.5208,0.0555,0.5104
Layer 2,2,0.6042,0.0452,0.6016
Layer 3,3,0.6354,0.0461,0.6305
Layer 4,4,0.6437,0.0616,0.6415
Layer 5,5,0.6542,0.0549,0.6509
Layer 6,6,0.6646,0.0369,0.6578
Layer 7,7,0.7083,0.0497,0.7014
Layer 8,8,0.7292,0.0497,0.7265
Layer 9,9,0.7458,0.0268,0.7424
Layer 10,10,0.7458,0.0599,0.7441
Layer 11,11,0.7396,0.0422,0.7364
Layer 12,12,0.7521,0.0369,0.748
Layer 13,13,0.7604,0.048,0.7598
Layer 14,14,0.7521,0.0561,0.7491
Layer 15,15,0.7521,0.0468,0.7505
Layer 16,16,0.7458,0.0382,0.7423
Layer 17,17,0.75,0.0316,0.7467
Layer 18,18,0.7042,0.0358,0.7015
Layer 19,19,0.725,0.0268,0.7239
Layer 20,20,0.6979,0.0349,0.6965
Layer 21,21,0.6562,0.0669,0.6529
Layer 22,22,0.6375,0.0449,0.6354
Layer 23,23,0.5854,0.0541,0.5856
Layer 24,24,0.4438,0.0654,0.4374
