Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6729,0.0313,0.6698
Layer 1,1,0.7346,0.0367,0.7322
Layer 2,2,0.8019,0.007,0.8001
Layer 3,3,0.8523,0.0267,0.8486
Layer 4,4,0.8729,0.0248,0.8707
Layer 5,5,0.871,0.0331,0.8709
Layer 6,6,0.8692,0.0258,0.8673
Layer 7,7,0.8953,0.0239,0.8932
Layer 8,8,0.9009,0.0293,0.8989
Layer 9,9,0.9178,0.0181,0.9168
Layer 10,10,0.9252,0.0167,0.9241
Layer 11,11,0.9308,0.0192,0.9303
Layer 12,12,0.9327,0.0208,0.9322
Layer 13,13,0.9178,0.0181,0.9173
Layer 14,14,0.9084,0.02,0.908
Layer 15,15,0.8935,0.0255,0.8923
Layer 16,16,0.8822,0.0095,0.8812
Layer 17,17,0.871,0.02,0.8712
Layer 18,18,0.871,0.0216,0.8709
Layer 19,19,0.8673,0.0191,0.8666
Layer 20,20,0.8692,0.0167,0.8682
Layer 21,21,0.8542,0.0248,0.8532
Layer 22,22,0.871,0.0254,0.8678
Layer 23,23,0.8598,0.0538,0.8566
Layer 24,24,0.8505,0.0355,0.8482
