Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.1973,0.0164,0.1979
Layer 1,1,0.5825,0.0619,0.5801
Layer 2,2,0.6904,0.0406,0.6885
Layer 3,3,0.7738,0.0181,0.7742
Layer 4,4,0.7773,0.0339,0.7766
Layer 5,5,0.7622,0.0229,0.7624
Layer 6,6,0.7506,0.0333,0.7501
Layer 7,7,0.7634,0.0342,0.7618
Layer 8,8,0.7332,0.0187,0.7322
Layer 9,9,0.7576,0.0374,0.7569
Layer 10,10,0.739,0.044,0.7391
Layer 11,11,0.6892,0.0384,0.6892
Layer 12,12,0.6578,0.0318,0.6586
Layer 13,13,0.645,0.0237,0.6456
Layer 14,14,0.6834,0.0323,0.6843
Layer 15,15,0.7031,0.034,0.7021
Layer 16,16,0.7298,0.0269,0.7295
Layer 17,17,0.775,0.0228,0.7735
Layer 18,18,0.7471,0.032,0.7456
Layer 19,19,0.7599,0.0217,0.7599
Layer 20,20,0.7367,0.0168,0.7355
Layer 21,21,0.71,0.0301,0.7079
Layer 22,22,0.6694,0.021,0.6676
Layer 23,23,0.6079,0.0292,0.6078
Layer 24,24,0.5465,0.0327,0.5461
