Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4875,0.0429,0.4835
Layer 1,1,0.5958,0.0424,0.5891
Layer 2,2,0.6312,0.0352,0.6256
Layer 3,3,0.6812,0.0333,0.6769
Layer 4,4,0.6979,0.0295,0.6941
Layer 5,5,0.7229,0.0327,0.7187
Layer 6,6,0.75,0.0378,0.7472
Layer 7,7,0.7229,0.0538,0.7191
Layer 8,8,0.7646,0.042,0.7599
Layer 9,9,0.7625,0.0232,0.7593
Layer 10,10,0.75,0.0316,0.747
Layer 11,11,0.7542,0.0664,0.7514
Layer 12,12,0.7583,0.0369,0.7554
Layer 13,13,0.7708,0.0607,0.7655
Layer 14,14,0.7625,0.0283,0.7592
Layer 15,15,0.775,0.0276,0.7727
Layer 16,16,0.775,0.0169,0.7742
Layer 17,17,0.7667,0.0268,0.764
Layer 18,18,0.7729,0.0386,0.7696
Layer 19,19,0.7646,0.034,0.7593
Layer 20,20,0.7521,0.0424,0.7471
Layer 21,21,0.7479,0.0525,0.7443
Layer 22,22,0.7271,0.0686,0.7249
Layer 23,23,0.6958,0.0363,0.6912
Layer 24,24,0.6812,0.061,0.678
