Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4908,0.0191,0.4905
Layer 1,1,0.5441,0.0275,0.5414
Layer 2,2,0.558,0.016,0.5553
Layer 3,3,0.5708,0.0262,0.5677
Layer 4,4,0.5615,0.0171,0.5598
Layer 5,5,0.5789,0.021,0.5771
Layer 6,6,0.5766,0.0176,0.5744
Layer 7,7,0.5696,0.0248,0.5665
Layer 8,8,0.5614,0.0212,0.5582
Layer 9,9,0.529,0.036,0.5272
Layer 10,10,0.5302,0.0393,0.5286
Layer 11,11,0.4977,0.031,0.4949
Layer 12,12,0.4872,0.0267,0.4859
Layer 13,13,0.4942,0.0383,0.4923
Layer 14,14,0.4884,0.0189,0.4851
Layer 15,15,0.4908,0.036,0.4886
Layer 16,16,0.4513,0.0313,0.4497
Layer 17,17,0.4339,0.0188,0.4302
Layer 18,18,0.4118,0.0199,0.409
Layer 19,19,0.4211,0.0408,0.4176
Layer 20,20,0.4141,0.0466,0.4125
Layer 21,21,0.4049,0.0282,0.4033
Layer 22,22,0.3944,0.0312,0.3938
Layer 23,23,0.3979,0.0362,0.3955
Layer 24,24,0.377,0.0344,0.3756
