Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7477,0.0258,0.7453
Layer 1,1,0.8093,0.0268,0.8072
Layer 2,2,0.8486,0.0191,0.8455
Layer 3,3,0.8916,0.0281,0.8908
Layer 4,4,0.9308,0.014,0.9301
Layer 5,5,0.9439,0.0177,0.9431
Layer 6,6,0.9477,0.0152,0.9477
Layer 7,7,0.9589,0.0127,0.9591
Layer 8,8,0.957,0.0127,0.9568
Layer 9,9,0.9645,0.0161,0.9641
Layer 10,10,0.9607,0.015,0.9605
Layer 11,11,0.9664,0.0152,0.966
Layer 12,12,0.9682,0.021,0.968
Layer 13,13,0.9776,0.014,0.9775
Layer 14,14,0.9682,0.014,0.9682
Layer 15,15,0.9701,0.0137,0.9701
Layer 16,16,0.9701,0.0161,0.97
Layer 17,17,0.9701,0.0161,0.9701
Layer 18,18,0.9682,0.014,0.9683
Layer 19,19,0.9645,0.0181,0.9646
Layer 20,20,0.9551,0.0216,0.9553
Layer 21,21,0.9551,0.0161,0.9551
Layer 22,22,0.9514,0.0247,0.9512
Layer 23,23,0.9495,0.0281,0.9486
Layer 24,24,0.9346,0.0244,0.9334
