Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3729,0.0386,0.3734
Layer 1,1,0.4812,0.0179,0.4752
Layer 2,2,0.5188,0.0744,0.5125
Layer 3,3,0.5021,0.0602,0.4994
Layer 4,4,0.575,0.0212,0.5701
Layer 5,5,0.6313,0.0404,0.6265
Layer 6,6,0.6542,0.0403,0.6494
Layer 7,7,0.6896,0.029,0.6849
Layer 8,8,0.6438,0.0357,0.6425
Layer 9,9,0.65,0.0376,0.6474
Layer 10,10,0.7062,0.0369,0.7042
Layer 11,11,0.7333,0.0234,0.7327
Layer 12,12,0.7208,0.029,0.716
Layer 13,13,0.6958,0.029,0.6935
Layer 14,14,0.7083,0.028,0.7016
Layer 15,15,0.7312,0.0283,0.7242
Layer 16,16,0.7458,0.0313,0.7419
Layer 17,17,0.7438,0.0352,0.7404
Layer 18,18,0.7104,0.0403,0.7041
Layer 19,19,0.7188,0.0132,0.7115
Layer 20,20,0.7125,0.0214,0.7062
Layer 21,21,0.7167,0.0259,0.7077
Layer 22,22,0.6958,0.0332,0.6882
Layer 23,23,0.7104,0.0332,0.7041
Layer 24,24,0.6937,0.0051,0.6897
