Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4902,0.0498,0.4872
Layer 1,1,0.5564,0.0426,0.5541
Layer 2,2,0.6291,0.0387,0.6261
Layer 3,3,0.6589,0.0424,0.6543
Layer 4,4,0.6605,0.0391,0.6555
Layer 5,5,0.6572,0.0383,0.6523
Layer 6,6,0.6904,0.0229,0.6874
Layer 7,7,0.7102,0.0211,0.7084
Layer 8,8,0.7202,0.0186,0.7194
Layer 9,9,0.7202,0.0149,0.7178
Layer 10,10,0.7732,0.0278,0.7718
Layer 11,11,0.7749,0.0337,0.773
Layer 12,12,0.7484,0.0315,0.7485
Layer 13,13,0.7401,0.0276,0.7387
Layer 14,14,0.722,0.052,0.7211
Layer 15,15,0.7269,0.0176,0.7281
Layer 16,16,0.7054,0.0365,0.7073
Layer 17,17,0.6674,0.0503,0.6682
Layer 18,18,0.6706,0.0368,0.6713
Layer 19,19,0.6839,0.0456,0.6832
Layer 20,20,0.6392,0.0484,0.6371
Layer 21,21,0.6607,0.0443,0.6573
Layer 22,22,0.6458,0.0427,0.6461
Layer 23,23,0.6524,0.0182,0.6528
Layer 24,24,0.6557,0.0365,0.6567
