Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6613,0.0374,0.659
Layer 1,1,0.7285,0.0301,0.7265
Layer 2,2,0.7715,0.0201,0.7702
Layer 3,3,0.7761,0.0132,0.7748
Layer 4,4,0.7854,0.018,0.7845
Layer 5,5,0.7808,0.0238,0.7793
Layer 6,6,0.7704,0.0229,0.7696
Layer 7,7,0.7831,0.033,0.7826
Layer 8,8,0.7878,0.0358,0.7872
Layer 9,9,0.7762,0.0393,0.7759
Layer 10,10,0.775,0.0331,0.7754
Layer 11,11,0.7622,0.0337,0.7622
Layer 12,12,0.7425,0.0342,0.7417
Layer 13,13,0.7344,0.0248,0.7338
Layer 14,14,0.7054,0.0171,0.7051
Layer 15,15,0.6857,0.0241,0.6849
Layer 16,16,0.688,0.0338,0.6867
Layer 17,17,0.6555,0.0318,0.6542
Layer 18,18,0.6184,0.03,0.6168
Layer 19,19,0.6207,0.0086,0.6195
Layer 20,20,0.6276,0.0286,0.6277
Layer 21,21,0.6045,0.0425,0.6039
Layer 22,22,0.6137,0.0384,0.6112
Layer 23,23,0.5998,0.0392,0.6009
Layer 24,24,0.5313,0.0273,0.5315
