Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.1787,0.025,0.1773
Layer 1,1,0.492,0.038,0.4902
Layer 2,2,0.5906,0.0455,0.5891
Layer 3,3,0.6729,0.0236,0.6729
Layer 4,4,0.6775,0.0178,0.6762
Layer 5,5,0.6694,0.0209,0.6701
Layer 6,6,0.6578,0.0067,0.6598
Layer 7,7,0.6752,0.0268,0.6747
Layer 8,8,0.6786,0.0245,0.679
Layer 9,9,0.6624,0.0165,0.6623
Layer 10,10,0.6659,0.0275,0.6669
Layer 11,11,0.6115,0.0461,0.6117
Layer 12,12,0.5767,0.0413,0.5773
Layer 13,13,0.5128,0.0198,0.5126
Layer 14,14,0.5789,0.0222,0.5792
Layer 15,15,0.5871,0.0181,0.5856
Layer 16,16,0.6392,0.021,0.6392
Layer 17,17,0.6566,0.0262,0.6557
Layer 18,18,0.6252,0.032,0.6251
Layer 19,19,0.6334,0.014,0.6326
Layer 20,20,0.6218,0.0166,0.6204
Layer 21,21,0.5731,0.0075,0.5729
Layer 22,22,0.565,0.0187,0.5628
Layer 23,23,0.5198,0.0546,0.5205
Layer 24,24,0.4514,0.0388,0.4501
