Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.535,0.0277,0.5327
Layer 1,1,0.6913,0.0304,0.6904
Layer 2,2,0.7448,0.0269,0.7446
Layer 3,3,0.7781,0.0307,0.7778
Layer 4,4,0.8342,0.0159,0.834
Layer 5,5,0.8584,0.0209,0.8582
Layer 6,6,0.8847,0.0172,0.8847
Layer 7,7,0.8903,0.0123,0.89
Layer 8,8,0.8946,0.0135,0.8944
Layer 9,9,0.9011,0.013,0.9012
Layer 10,10,0.9162,0.0133,0.9162
Layer 11,11,0.9313,0.0141,0.9316
Layer 12,12,0.9387,0.0062,0.9387
Layer 13,13,0.9413,0.0104,0.9414
Layer 14,14,0.9357,0.0151,0.9357
Layer 15,15,0.937,0.0098,0.937
Layer 16,16,0.9344,0.012,0.9343
Layer 17,17,0.9249,0.0107,0.9249
Layer 18,18,0.9301,0.004,0.9299
Layer 19,19,0.9249,0.0057,0.9247
Layer 20,20,0.921,0.0062,0.9208
Layer 21,21,0.9184,0.0084,0.9184
Layer 22,22,0.918,0.0081,0.918
Layer 23,23,0.9098,0.0122,0.9098
Layer 24,24,0.9102,0.0119,0.91
