Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4771,0.0439,0.4748
Layer 1,1,0.5833,0.0342,0.5766
Layer 2,2,0.5854,0.0512,0.5853
Layer 3,3,0.6208,0.0478,0.6156
Layer 4,4,0.6917,0.0141,0.6882
Layer 5,5,0.7312,0.0259,0.7286
Layer 6,6,0.7625,0.0339,0.7595
Layer 7,7,0.7771,0.0404,0.7752
Layer 8,8,0.7625,0.0345,0.7589
Layer 9,9,0.8021,0.0316,0.7996
Layer 10,10,0.8271,0.0268,0.8258
Layer 11,11,0.7938,0.0298,0.7928
Layer 12,12,0.8083,0.0313,0.8074
Layer 13,13,0.7792,0.0325,0.7776
Layer 14,14,0.7812,0.0219,0.7802
Layer 15,15,0.7771,0.0382,0.7747
Layer 16,16,0.7875,0.0141,0.7854
Layer 17,17,0.775,0.0306,0.7729
Layer 18,18,0.7896,0.0121,0.7886
Layer 19,19,0.8125,0.0174,0.8101
Layer 20,20,0.7875,0.0125,0.7858
Layer 21,21,0.7729,0.029,0.7705
Layer 22,22,0.7688,0.0212,0.764
Layer 23,23,0.7646,0.0125,0.7611
Layer 24,24,0.7729,0.0222,0.7713
