Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3817,0.0135,0.3797
Layer 1,1,0.4106,0.0168,0.4093
Layer 2,2,0.4672,0.0191,0.4665
Layer 3,3,0.5134,0.0269,0.5116
Layer 4,4,0.5605,0.0309,0.5589
Layer 5,5,0.5738,0.0197,0.5724
Layer 6,6,0.5877,0.0274,0.5868
Layer 7,7,0.5812,0.0323,0.5803
Layer 8,8,0.5868,0.0237,0.5851
Layer 9,9,0.5984,0.021,0.5974
Layer 10,10,0.5976,0.0313,0.596
Layer 11,11,0.5859,0.0234,0.5844
Layer 12,12,0.5713,0.0297,0.5692
Layer 13,13,0.5617,0.018,0.5602
Layer 14,14,0.5527,0.0249,0.5517
Layer 15,15,0.5475,0.0295,0.5466
Layer 16,16,0.5389,0.0261,0.5379
Layer 17,17,0.5272,0.0283,0.526
Layer 18,18,0.5078,0.0241,0.5073
Layer 19,19,0.4978,0.0259,0.497
Layer 20,20,0.4875,0.0177,0.4865
Layer 21,21,0.4849,0.012,0.4831
Layer 22,22,0.4715,0.0167,0.4696
Layer 23,23,0.4732,0.0211,0.472
Layer 24,24,0.4797,0.0235,0.4789
