Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6771,0.028,0.6712
Layer 1,1,0.7292,0.0287,0.7269
Layer 2,2,0.7458,0.0376,0.7419
Layer 3,3,0.7583,0.0414,0.7545
Layer 4,4,0.7896,0.0275,0.7845
Layer 5,5,0.7958,0.0141,0.7928
Layer 6,6,0.8021,0.0147,0.7998
Layer 7,7,0.8208,0.0319,0.8199
Layer 8,8,0.8188,0.0169,0.8174
Layer 9,9,0.8375,0.0234,0.8356
Layer 10,10,0.8375,0.044,0.8358
Layer 11,11,0.8292,0.0284,0.8274
Layer 12,12,0.8542,0.0114,0.8537
Layer 13,13,0.8583,0.0169,0.857
Layer 14,14,0.8583,0.0234,0.8575
Layer 15,15,0.8333,0.0329,0.8339
Layer 16,16,0.8396,0.0193,0.8394
Layer 17,17,0.8208,0.0339,0.8214
Layer 18,18,0.7917,0.0342,0.7899
Layer 19,19,0.7938,0.0259,0.7933
Layer 20,20,0.7688,0.0202,0.7665
Layer 21,21,0.7458,0.0234,0.7443
Layer 22,22,0.7375,0.029,0.7322
Layer 23,23,0.6625,0.0214,0.6588
Layer 24,24,0.5292,0.0241,0.5268
