Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5772,0.0087,0.5577
Layer 1,1,0.557,0.0044,0.5499
Layer 2,2,0.5626,0.0071,0.5563
Layer 3,3,0.5576,0.0078,0.5535
Layer 4,4,0.5593,0.0071,0.5571
Layer 5,5,0.5652,0.0086,0.563
Layer 6,6,0.5668,0.0078,0.5656
Layer 7,7,0.5676,0.004,0.5667
Layer 8,8,0.5716,0.0063,0.5704
Layer 9,9,0.5752,0.0067,0.5739
Layer 10,10,0.5714,0.0086,0.5715
Layer 11,11,0.5747,0.008,0.5742
Layer 12,12,0.5746,0.0054,0.5748
Layer 13,13,0.573,0.0081,0.5735
Layer 14,14,0.5654,0.0047,0.5665
Layer 15,15,0.5589,0.0121,0.5606
Layer 16,16,0.5593,0.01,0.561
Layer 17,17,0.5655,0.0054,0.5661
Layer 18,18,0.5603,0.0103,0.5588
Layer 19,19,0.5612,0.0038,0.5584
Layer 20,20,0.5553,0.0079,0.5518
Layer 21,21,0.5442,0.0105,0.5388
Layer 22,22,0.5408,0.0047,0.5324
Layer 23,23,0.5258,0.0109,0.5164
Layer 24,24,0.5142,0.0152,0.503
