Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5845,0.037,0.5816
Layer 1,1,0.6474,0.0447,0.6463
Layer 2,2,0.6722,0.0529,0.6703
Layer 3,3,0.7301,0.0169,0.7276
Layer 4,4,0.7416,0.0406,0.7401
Layer 5,5,0.7649,0.024,0.7632
Layer 6,6,0.7748,0.0405,0.7709
Layer 7,7,0.7814,0.0201,0.7807
Layer 8,8,0.7732,0.0264,0.7723
Layer 9,9,0.7765,0.0275,0.7749
Layer 10,10,0.7931,0.0144,0.7921
Layer 11,11,0.7732,0.0245,0.7728
Layer 12,12,0.7269,0.0196,0.7256
Layer 13,13,0.6887,0.0192,0.6881
Layer 14,14,0.6441,0.0278,0.6399
Layer 15,15,0.6705,0.0307,0.6688
Layer 16,16,0.644,0.0349,0.6449
Layer 17,17,0.6605,0.0313,0.66
Layer 18,18,0.6556,0.0158,0.6522
Layer 19,19,0.6241,0.0314,0.6227
Layer 20,20,0.5646,0.0301,0.567
Layer 21,21,0.5381,0.0308,0.5347
Layer 22,22,0.4751,0.0272,0.473
Layer 23,23,0.4471,0.0416,0.4432
Layer 24,24,0.3377,0.0298,0.3362
