Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5342,0.011,0.5334
Layer 1,1,0.552,0.0157,0.5514
Layer 2,2,0.5615,0.0196,0.5609
Layer 3,3,0.5568,0.007,0.5564
Layer 4,4,0.559,0.0202,0.5587
Layer 5,5,0.563,0.0157,0.5627
Layer 6,6,0.5707,0.0214,0.5703
Layer 7,7,0.5762,0.015,0.5758
Layer 8,8,0.5736,0.0154,0.5733
Layer 9,9,0.5806,0.0092,0.5804
Layer 10,10,0.5907,0.0102,0.5902
Layer 11,11,0.5885,0.0165,0.588
Layer 12,12,0.5802,0.0158,0.5799
Layer 13,13,0.5722,0.0179,0.5719
Layer 14,14,0.5694,0.0121,0.5692
Layer 15,15,0.5786,0.0109,0.5785
Layer 16,16,0.5753,0.0088,0.5749
Layer 17,17,0.5817,0.0165,0.5811
Layer 18,18,0.5921,0.015,0.5915
Layer 19,19,0.5815,0.0129,0.5813
Layer 20,20,0.5839,0.0104,0.5836
Layer 21,21,0.5844,0.0197,0.5843
Layer 22,22,0.5718,0.0217,0.5718
Layer 23,23,0.5509,0.0105,0.5509
Layer 24,24,0.5432,0.0222,0.5429
