Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.271,0.0271,0.2789
Layer 1,1,0.6748,0.0872,0.6715
Layer 2,2,0.7981,0.0275,0.7943
Layer 3,3,0.9084,0.0432,0.9064
Layer 4,4,0.9196,0.0226,0.9183
Layer 5,5,0.9103,0.0201,0.9088
Layer 6,6,0.9196,0.0218,0.9189
Layer 7,7,0.9383,0.0281,0.9371
Layer 8,8,0.9009,0.042,0.9007
Layer 9,9,0.9308,0.0241,0.9305
Layer 10,10,0.9084,0.0232,0.9067
Layer 11,11,0.8972,0.034,0.8952
Layer 12,12,0.8692,0.034,0.8666
Layer 13,13,0.8505,0.0388,0.847
Layer 14,14,0.9065,0.0334,0.9039
Layer 15,15,0.9047,0.0298,0.902
Layer 16,16,0.9383,0.0305,0.9374
Layer 17,17,0.9402,0.0268,0.9398
Layer 18,18,0.9028,0.021,0.9026
Layer 19,19,0.8692,0.0156,0.8687
Layer 20,20,0.8393,0.0304,0.8365
Layer 21,21,0.8243,0.02,0.8217
Layer 22,22,0.772,0.0226,0.7638
Layer 23,23,0.729,0.0264,0.7247
Layer 24,24,0.671,0.0208,0.6663
