Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3958,0.0306,0.3932
Layer 1,1,0.4321,0.0501,0.4311
Layer 2,2,0.4818,0.0664,0.4788
Layer 3,3,0.5978,0.0585,0.5952
Layer 4,4,0.6192,0.0224,0.6162
Layer 5,5,0.644,0.0376,0.642
Layer 6,6,0.6391,0.0338,0.6357
Layer 7,7,0.6325,0.0277,0.6304
Layer 8,8,0.6605,0.0346,0.6611
Layer 9,9,0.644,0.0364,0.643
Layer 10,10,0.6506,0.0143,0.65
Layer 11,11,0.6374,0.0197,0.6358
Layer 12,12,0.6225,0.026,0.6186
Layer 13,13,0.5944,0.0193,0.5903
Layer 14,14,0.591,0.0346,0.5887
Layer 15,15,0.5612,0.0504,0.5589
Layer 16,16,0.5712,0.0279,0.5682
Layer 17,17,0.563,0.0504,0.5588
Layer 18,18,0.5794,0.0236,0.5759
Layer 19,19,0.5712,0.034,0.5686
Layer 20,20,0.5481,0.0361,0.5443
Layer 21,21,0.553,0.0384,0.5503
Layer 22,22,0.5349,0.0529,0.5333
Layer 23,23,0.5382,0.064,0.5364
Layer 24,24,0.5547,0.059,0.551
