Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3708,0.0473,0.3682
Layer 1,1,0.4333,0.0534,0.4277
Layer 2,2,0.4896,0.0395,0.4824
Layer 3,3,0.4875,0.0369,0.4797
Layer 4,4,0.5021,0.0454,0.4957
Layer 5,5,0.5438,0.0241,0.5386
Layer 6,6,0.525,0.0459,0.5179
Layer 7,7,0.55,0.0612,0.5448
Layer 8,8,0.5708,0.0468,0.5661
Layer 9,9,0.5667,0.0491,0.5596
Layer 10,10,0.5958,0.0312,0.5926
Layer 11,11,0.6146,0.0272,0.6097
Layer 12,12,0.6229,0.0167,0.616
Layer 13,13,0.6333,0.0312,0.6276
Layer 14,14,0.6312,0.0313,0.6231
Layer 15,15,0.6396,0.0364,0.6325
Layer 16,16,0.6208,0.0464,0.6145
Layer 17,17,0.6333,0.0637,0.6282
Layer 18,18,0.6062,0.0752,0.6007
Layer 19,19,0.6229,0.0397,0.6169
Layer 20,20,0.6188,0.0333,0.6113
Layer 21,21,0.6375,0.0369,0.6323
Layer 22,22,0.6479,0.0241,0.6445
Layer 23,23,0.5667,0.0613,0.5629
Layer 24,24,0.5521,0.0417,0.5473
