Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6527,0.011,0.6521
Layer 1,1,0.6667,0.0096,0.6664
Layer 2,2,0.6811,0.013,0.681
Layer 3,3,0.6742,0.015,0.6741
Layer 4,4,0.6632,0.025,0.663
Layer 5,5,0.6685,0.0124,0.6683
Layer 6,6,0.6711,0.0159,0.6711
Layer 7,7,0.6685,0.0178,0.6688
Layer 8,8,0.6773,0.0141,0.6776
Layer 9,9,0.6813,0.0155,0.6814
Layer 10,10,0.6848,0.0223,0.6846
Layer 11,11,0.6835,0.0146,0.6835
Layer 12,12,0.6817,0.0158,0.6817
Layer 13,13,0.6848,0.013,0.6848
Layer 14,14,0.6837,0.0054,0.6838
Layer 15,15,0.6806,0.0034,0.6807
Layer 16,16,0.6857,0.0137,0.6856
Layer 17,17,0.6857,0.0164,0.6858
Layer 18,18,0.6797,0.0146,0.6795
Layer 19,19,0.6833,0.0084,0.6832
Layer 20,20,0.674,0.0083,0.6738
Layer 21,21,0.6855,0.0155,0.6854
Layer 22,22,0.689,0.0066,0.6893
Layer 23,23,0.6733,0.0203,0.6733
Layer 24,24,0.6665,0.0167,0.6666
