Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.2523,0.0334,0.2556
Layer 1,1,0.5813,0.0463,0.5712
Layer 2,2,0.7178,0.0366,0.713
Layer 3,3,0.8318,0.0465,0.8279
Layer 4,4,0.8841,0.0293,0.8821
Layer 5,5,0.8804,0.0286,0.8781
Layer 6,6,0.9009,0.0305,0.8991
Layer 7,7,0.8822,0.0416,0.8801
Layer 8,8,0.8486,0.0309,0.8452
Layer 9,9,0.8897,0.0254,0.8878
Layer 10,10,0.8841,0.0449,0.8816
Layer 11,11,0.8449,0.0316,0.8399
Layer 12,12,0.7776,0.0208,0.7722
Layer 13,13,0.8093,0.0287,0.8031
Layer 14,14,0.8486,0.026,0.8445
Layer 15,15,0.8673,0.0357,0.8641
Layer 16,16,0.8879,0.036,0.885
Layer 17,17,0.8972,0.0446,0.8955
Layer 18,18,0.8505,0.0277,0.8487
Layer 19,19,0.8243,0.0161,0.8223
Layer 20,20,0.7981,0.0201,0.7948
Layer 21,21,0.7776,0.0181,0.7714
Layer 22,22,0.714,0.0183,0.7041
Layer 23,23,0.6486,0.0425,0.6362
Layer 24,24,0.5925,0.0275,0.5812
