Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5908,0.0134,0.5904
Layer 1,1,0.5899,0.0126,0.5898
Layer 2,2,0.594,0.0142,0.5934
Layer 3,3,0.5973,0.0148,0.5969
Layer 4,4,0.593,0.0137,0.5925
Layer 5,5,0.5965,0.01,0.5961
Layer 6,6,0.6148,0.0065,0.6147
Layer 7,7,0.6179,0.0132,0.6181
Layer 8,8,0.6119,0.0148,0.6119
Layer 9,9,0.6132,0.0147,0.6131
Layer 10,10,0.6233,0.0065,0.623
Layer 11,11,0.6207,0.0078,0.6204
Layer 12,12,0.6321,0.0086,0.6317
Layer 13,13,0.624,0.0077,0.6238
Layer 14,14,0.6278,0.0224,0.6277
Layer 15,15,0.6227,0.0159,0.6225
Layer 16,16,0.6218,0.0119,0.6215
Layer 17,17,0.6249,0.0167,0.6246
Layer 18,18,0.622,0.013,0.6213
Layer 19,19,0.6247,0.0066,0.6245
Layer 20,20,0.6112,0.018,0.6106
Layer 21,21,0.6112,0.0053,0.6109
Layer 22,22,0.6108,0.0041,0.6103
Layer 23,23,0.6203,0.0126,0.6202
Layer 24,24,0.6247,0.0111,0.6243
