Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.2649,0.0403,0.262
Layer 1,1,0.5182,0.0266,0.5177
Layer 2,2,0.6308,0.0275,0.6313
Layer 3,3,0.7682,0.0189,0.7665
Layer 4,4,0.8526,0.0155,0.8507
Layer 5,5,0.8659,0.0177,0.8649
Layer 6,6,0.8278,0.0162,0.8268
Layer 7,7,0.8344,0.0182,0.8338
Layer 8,8,0.7898,0.0198,0.7879
Layer 9,9,0.846,0.0341,0.8448
Layer 10,10,0.8128,0.0498,0.812
Layer 11,11,0.7598,0.0394,0.7567
Layer 12,12,0.7267,0.0302,0.7252
Layer 13,13,0.7186,0.0325,0.7162
Layer 14,14,0.755,0.0307,0.7529
Layer 15,15,0.7831,0.0225,0.781
Layer 16,16,0.8559,0.0236,0.8548
Layer 17,17,0.884,0.0271,0.8835
Layer 18,18,0.8527,0.0141,0.8519
Layer 19,19,0.8046,0.0274,0.8043
Layer 20,20,0.7831,0.0352,0.7828
Layer 21,21,0.7302,0.048,0.7281
Layer 22,22,0.6937,0.0316,0.6911
Layer 23,23,0.6259,0.0315,0.6233
Layer 24,24,0.5365,0.022,0.5343
