Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5816,0.0311,0.581
Layer 1,1,0.6883,0.0278,0.687
Layer 2,2,0.7833,0.0278,0.7831
Layer 3,3,0.829,0.0176,0.8284
Layer 4,4,0.8277,0.0153,0.827
Layer 5,5,0.8342,0.013,0.8342
Layer 6,6,0.8467,0.0129,0.8469
Layer 7,7,0.8489,0.0153,0.8487
Layer 8,8,0.8588,0.0105,0.8585
Layer 9,9,0.8666,0.0097,0.8661
Layer 10,10,0.8873,0.0152,0.8872
Layer 11,11,0.9106,0.0185,0.9104
Layer 12,12,0.921,0.0147,0.9208
Layer 13,13,0.9184,0.0164,0.9183
Layer 14,14,0.9149,0.0148,0.9149
Layer 15,15,0.9046,0.0147,0.9046
Layer 16,16,0.8981,0.0179,0.8978
Layer 17,17,0.8886,0.0155,0.8883
Layer 18,18,0.8769,0.0162,0.8769
Layer 19,19,0.8765,0.0191,0.8764
Layer 20,20,0.8769,0.0169,0.8767
Layer 21,21,0.8614,0.0117,0.8614
Layer 22,22,0.8631,0.0167,0.8628
Layer 23,23,0.8493,0.0133,0.8493
Layer 24,24,0.8174,0.0149,0.8172
