Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5488,0.0505,0.5448
Layer 1,1,0.6021,0.0359,0.6002
Layer 2,2,0.6253,0.0506,0.6235
Layer 3,3,0.6636,0.035,0.6632
Layer 4,4,0.7251,0.0445,0.7242
Layer 5,5,0.7576,0.0319,0.7567
Layer 6,6,0.7901,0.0388,0.7884
Layer 7,7,0.7889,0.0363,0.7872
Layer 8,8,0.7773,0.0163,0.777
Layer 9,9,0.7935,0.018,0.7932
Layer 10,10,0.8225,0.0238,0.8221
Layer 11,11,0.8167,0.0228,0.8169
Layer 12,12,0.8132,0.0257,0.8123
Layer 13,13,0.7819,0.0155,0.7807
Layer 14,14,0.7541,0.0306,0.752
Layer 15,15,0.7587,0.0368,0.7568
Layer 16,16,0.7691,0.0288,0.7682
Layer 17,17,0.7634,0.0244,0.7619
Layer 18,18,0.768,0.0453,0.7657
Layer 19,19,0.7599,0.0286,0.759
Layer 20,20,0.7529,0.0133,0.7518
Layer 21,21,0.753,0.0393,0.7522
Layer 22,22,0.7181,0.0293,0.7178
Layer 23,23,0.7158,0.0226,0.7151
Layer 24,24,0.7216,0.0162,0.7207
