Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4283,0.0169,0.4266
Layer 1,1,0.5186,0.0237,0.5171
Layer 2,2,0.6166,0.0143,0.6161
Layer 3,3,0.6602,0.0232,0.6593
Layer 4,4,0.6723,0.0288,0.671
Layer 5,5,0.7042,0.0254,0.7023
Layer 6,6,0.7392,0.0265,0.7391
Layer 7,7,0.7323,0.0266,0.7317
Layer 8,8,0.7491,0.0241,0.7483
Layer 9,9,0.7586,0.0214,0.758
Layer 10,10,0.7699,0.022,0.7702
Layer 11,11,0.7997,0.0117,0.8
Layer 12,12,0.8044,0.0118,0.8048
Layer 13,13,0.8074,0.0189,0.8075
Layer 14,14,0.8023,0.0164,0.8018
Layer 15,15,0.8031,0.012,0.8029
Layer 16,16,0.7828,0.0174,0.7825
Layer 17,17,0.7815,0.0138,0.7809
Layer 18,18,0.7664,0.012,0.7667
Layer 19,19,0.7638,0.0152,0.7636
Layer 20,20,0.753,0.01,0.7535
Layer 21,21,0.7461,0.0153,0.7462
Layer 22,22,0.7461,0.0098,0.7461
Layer 23,23,0.7211,0.0089,0.721
Layer 24,24,0.687,0.0131,0.6875
