Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3325,0.0179,0.3315
Layer 1,1,0.3575,0.0139,0.3564
Layer 2,2,0.4106,0.0186,0.4096
Layer 3,3,0.4624,0.0355,0.4615
Layer 4,4,0.4897,0.0296,0.4895
Layer 5,5,0.5143,0.0252,0.5132
Layer 6,6,0.5436,0.0263,0.5423
Layer 7,7,0.5272,0.0249,0.5246
Layer 8,8,0.5272,0.0358,0.5255
Layer 9,9,0.5306,0.0144,0.5296
Layer 10,10,0.5255,0.0338,0.5229
Layer 11,11,0.532,0.0308,0.5297
Layer 12,12,0.5091,0.0286,0.5088
Layer 13,13,0.4952,0.0359,0.496
Layer 14,14,0.4767,0.0254,0.4765
Layer 15,15,0.4667,0.0165,0.4677
Layer 16,16,0.459,0.0226,0.4587
Layer 17,17,0.4624,0.0235,0.4617
Layer 18,18,0.4486,0.0209,0.4486
Layer 19,19,0.4434,0.0206,0.4438
Layer 20,20,0.4331,0.0256,0.432
Layer 21,21,0.4162,0.0137,0.4138
Layer 22,22,0.4149,0.0107,0.4135
Layer 23,23,0.4011,0.0142,0.3998
Layer 24,24,0.4089,0.0199,0.4077
