Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.725,0.0182,0.7234
Layer 1,1,0.7854,0.0393,0.7835
Layer 2,2,0.8208,0.0202,0.8203
Layer 3,3,0.8625,0.0222,0.8602
Layer 4,4,0.8646,0.0114,0.8624
Layer 5,5,0.8667,0.0167,0.8645
Layer 6,6,0.8812,0.0182,0.8798
Layer 7,7,0.8875,0.0138,0.885
Layer 8,8,0.8833,0.0121,0.8832
Layer 9,9,0.8833,0.0179,0.8821
Layer 10,10,0.8708,0.0284,0.8695
Layer 11,11,0.8729,0.0167,0.8706
Layer 12,12,0.8812,0.026,0.8798
Layer 13,13,0.8688,0.0214,0.8674
Layer 14,14,0.8667,0.0222,0.8666
Layer 15,15,0.8625,0.0275,0.8603
Layer 16,16,0.875,0.0228,0.8743
Layer 17,17,0.8583,0.0376,0.8576
Layer 18,18,0.8479,0.0358,0.8473
Layer 19,19,0.8479,0.0352,0.8478
Layer 20,20,0.8521,0.0319,0.8522
Layer 21,21,0.8562,0.0439,0.8552
Layer 22,22,0.8688,0.0388,0.8694
Layer 23,23,0.8417,0.0339,0.8415
Layer 24,24,0.8125,0.0316,0.8106
