Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.1875,0.0373,0.1843
Layer 1,1,0.4583,0.0316,0.4473
Layer 2,2,0.5021,0.0267,0.494
Layer 3,3,0.5875,0.0299,0.582
Layer 4,4,0.6083,0.0346,0.6014
Layer 5,5,0.6688,0.0259,0.6605
Layer 6,6,0.65,0.0306,0.6448
Layer 7,7,0.6625,0.0382,0.6552
Layer 8,8,0.6,0.0214,0.5964
Layer 9,9,0.6688,0.0222,0.663
Layer 10,10,0.6438,0.0332,0.6425
Layer 11,11,0.5938,0.0255,0.589
Layer 12,12,0.6083,0.0364,0.6019
Layer 13,13,0.5896,0.0388,0.5847
Layer 14,14,0.6188,0.0561,0.6129
Layer 15,15,0.6333,0.0778,0.6264
Layer 16,16,0.6646,0.0275,0.6596
Layer 17,17,0.6854,0.029,0.6819
Layer 18,18,0.5896,0.0525,0.5809
Layer 19,19,0.5667,0.0546,0.5552
Layer 20,20,0.5521,0.051,0.5448
Layer 21,21,0.4833,0.0546,0.4747
Layer 22,22,0.45,0.0499,0.4356
Layer 23,23,0.3958,0.0452,0.3891
Layer 24,24,0.3083,0.0546,0.3041
