Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6415,0.0351,0.6394
Layer 1,1,0.6938,0.0243,0.6912
Layer 2,2,0.7309,0.0374,0.73
Layer 3,3,0.7762,0.0269,0.7752
Layer 4,4,0.7726,0.0099,0.7724
Layer 5,5,0.7575,0.0175,0.7563
Layer 6,6,0.7831,0.0273,0.783
Layer 7,7,0.7831,0.0211,0.7815
Layer 8,8,0.7564,0.0127,0.756
Layer 9,9,0.7436,0.0231,0.7419
Layer 10,10,0.703,0.0282,0.7026
Layer 11,11,0.6416,0.0176,0.641
Layer 12,12,0.6137,0.0145,0.6132
Layer 13,13,0.58,0.0316,0.5785
Layer 14,14,0.5626,0.0147,0.5618
Layer 15,15,0.5116,0.023,0.5105
Layer 16,16,0.5221,0.0279,0.5198
Layer 17,17,0.5058,0.0255,0.5035
Layer 18,18,0.4792,0.0348,0.4778
Layer 19,19,0.4491,0.0491,0.4483
Layer 20,20,0.4281,0.0156,0.4273
Layer 21,21,0.4037,0.0379,0.4026
Layer 22,22,0.3434,0.035,0.3425
Layer 23,23,0.3271,0.028,0.3275
Layer 24,24,0.2877,0.0264,0.2873
