Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5723,0.0164,0.5717
Layer 1,1,0.5733,0.0058,0.5731
Layer 2,2,0.5672,0.0069,0.567
Layer 3,3,0.5656,0.0193,0.5653
Layer 4,4,0.5634,0.0196,0.563
Layer 5,5,0.5654,0.0142,0.565
Layer 6,6,0.5652,0.0112,0.5647
Layer 7,7,0.5667,0.0134,0.5662
Layer 8,8,0.5705,0.0173,0.5698
Layer 9,9,0.5709,0.0162,0.5705
Layer 10,10,0.5696,0.0072,0.5692
Layer 11,11,0.5709,0.0198,0.5704
Layer 12,12,0.57,0.0222,0.5696
Layer 13,13,0.5595,0.0195,0.5589
Layer 14,14,0.567,0.01,0.5665
Layer 15,15,0.5559,0.0079,0.5554
Layer 16,16,0.5484,0.0098,0.5478
Layer 17,17,0.5522,0.017,0.5519
Layer 18,18,0.5493,0.0182,0.5493
Layer 19,19,0.5405,0.0124,0.5402
Layer 20,20,0.535,0.01,0.5348
Layer 21,21,0.5308,0.0118,0.5304
Layer 22,22,0.5353,0.0155,0.5348
Layer 23,23,0.5502,0.0225,0.5495
Layer 24,24,0.5575,0.0172,0.557
