Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4758,0.0083,0.4757
Layer 1,1,0.4885,0.0052,0.4884
Layer 2,2,0.4769,0.0132,0.4764
Layer 3,3,0.4888,0.0108,0.4885
Layer 4,4,0.498,0.013,0.4976
Layer 5,5,0.4916,0.0099,0.4913
Layer 6,6,0.493,0.0165,0.4928
Layer 7,7,0.5055,0.0155,0.5051
Layer 8,8,0.4907,0.0156,0.4902
Layer 9,9,0.4892,0.0102,0.4886
Layer 10,10,0.5002,0.0123,0.4998
Layer 11,11,0.5002,0.0121,0.4998
Layer 12,12,0.4938,0.0121,0.4934
Layer 13,13,0.4962,0.0077,0.4958
Layer 14,14,0.496,0.012,0.4956
Layer 15,15,0.4778,0.0165,0.4774
Layer 16,16,0.485,0.012,0.4845
Layer 17,17,0.4839,0.0046,0.4836
Layer 18,18,0.4773,0.0095,0.4767
Layer 19,19,0.4813,0.0118,0.481
Layer 20,20,0.4766,0.007,0.476
Layer 21,21,0.4707,0.0121,0.4702
Layer 22,22,0.4683,0.0146,0.468
Layer 23,23,0.4701,0.0124,0.4698
Layer 24,24,0.4771,0.007,0.4768
