Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6176,0.0135,0.6154
Layer 1,1,0.7169,0.0283,0.7152
Layer 2,2,0.7483,0.0201,0.7473
Layer 3,3,0.7897,0.0197,0.7895
Layer 4,4,0.8129,0.0127,0.8132
Layer 5,5,0.8444,0.0207,0.8433
Layer 6,6,0.8692,0.0195,0.869
Layer 7,7,0.8609,0.0344,0.8596
Layer 8,8,0.8493,0.0358,0.8478
Layer 9,9,0.8609,0.0244,0.8596
Layer 10,10,0.8708,0.0223,0.8686
Layer 11,11,0.8377,0.0382,0.838
Layer 12,12,0.8129,0.026,0.8125
Layer 13,13,0.7748,0.0292,0.7728
Layer 14,14,0.7698,0.0309,0.7673
Layer 15,15,0.7467,0.0359,0.7421
Layer 16,16,0.7036,0.0248,0.6986
Layer 17,17,0.7266,0.0565,0.7261
Layer 18,18,0.7168,0.0556,0.716
Layer 19,19,0.7019,0.0563,0.7013
Layer 20,20,0.6207,0.0409,0.6218
Layer 21,21,0.581,0.0374,0.5801
Layer 22,22,0.5131,0.0403,0.5139
Layer 23,23,0.4552,0.0367,0.4538
Layer 24,24,0.3543,0.0444,0.3542
