Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3065,0.0298,0.3127
Layer 1,1,0.7346,0.0429,0.7273
Layer 2,2,0.8393,0.0424,0.8347
Layer 3,3,0.9271,0.0286,0.9252
Layer 4,4,0.9383,0.0173,0.9375
Layer 5,5,0.9196,0.0192,0.9184
Layer 6,6,0.9439,0.0187,0.9432
Layer 7,7,0.9402,0.0173,0.9398
Layer 8,8,0.9196,0.0293,0.919
Layer 9,9,0.9458,0.0137,0.9456
Layer 10,10,0.9402,0.0218,0.9396
Layer 11,11,0.9252,0.0229,0.9229
Layer 12,12,0.9065,0.0102,0.9048
Layer 13,13,0.886,0.026,0.8837
Layer 14,14,0.9234,0.032,0.9217
Layer 15,15,0.9402,0.014,0.9394
Layer 16,16,0.957,0.0293,0.9565
Layer 17,17,0.9514,0.0254,0.9508
Layer 18,18,0.929,0.0293,0.928
Layer 19,19,0.9047,0.0309,0.9038
Layer 20,20,0.9009,0.0305,0.9001
Layer 21,21,0.8579,0.0161,0.8577
Layer 22,22,0.828,0.0287,0.827
Layer 23,23,0.7832,0.0171,0.7816
Layer 24,24,0.7121,0.0137,0.7088
