Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3416,0.0223,0.3351
Layer 1,1,0.4804,0.0128,0.48
Layer 2,2,0.5214,0.0234,0.5212
Layer 3,3,0.5782,0.0193,0.5778
Layer 4,4,0.5727,0.0103,0.5728
Layer 5,5,0.5833,0.0144,0.5827
Layer 6,6,0.5832,0.0104,0.583
Layer 7,7,0.5868,0.0077,0.5864
Layer 8,8,0.5729,0.0082,0.5721
Layer 9,9,0.5921,0.023,0.5917
Layer 10,10,0.5925,0.014,0.5923
Layer 11,11,0.5674,0.0166,0.5672
Layer 12,12,0.5793,0.0117,0.5787
Layer 13,13,0.5665,0.0157,0.5661
Layer 14,14,0.5808,0.0085,0.5805
Layer 15,15,0.5886,0.0189,0.5882
Layer 16,16,0.5984,0.016,0.598
Layer 17,17,0.5996,0.0129,0.5994
Layer 18,18,0.5828,0.0168,0.5824
Layer 19,19,0.5778,0.0096,0.5776
Layer 20,20,0.5775,0.0143,0.5773
Layer 21,21,0.5654,0.0144,0.5648
Layer 22,22,0.5203,0.0104,0.5198
Layer 23,23,0.4996,0.0161,0.4986
Layer 24,24,0.5038,0.0263,0.5036
