Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5566,0.0168,0.5553
Layer 1,1,0.6917,0.0265,0.6908
Layer 2,2,0.7617,0.0232,0.7615
Layer 3,3,0.8092,0.0261,0.8087
Layer 4,4,0.8182,0.0298,0.8174
Layer 5,5,0.8247,0.0335,0.8239
Layer 6,6,0.8657,0.0213,0.865
Layer 7,7,0.8674,0.0172,0.8672
Layer 8,8,0.8791,0.0258,0.8792
Layer 9,9,0.9007,0.0157,0.9007
Layer 10,10,0.9063,0.0147,0.9062
Layer 11,11,0.9197,0.0147,0.9198
Layer 12,12,0.9136,0.016,0.9136
Layer 13,13,0.9037,0.0182,0.9036
Layer 14,14,0.8942,0.0168,0.8941
Layer 15,15,0.8916,0.0126,0.8913
Layer 16,16,0.8808,0.0189,0.8807
Layer 17,17,0.8821,0.0171,0.8822
Layer 18,18,0.8731,0.0114,0.8732
Layer 19,19,0.8674,0.0104,0.8673
Layer 20,20,0.8718,0.0145,0.8716
Layer 21,21,0.8726,0.0127,0.8726
Layer 22,22,0.8644,0.0054,0.8642
Layer 23,23,0.8433,0.0064,0.8432
Layer 24,24,0.8273,0.0149,0.8272
