Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4784,0.0148,0.4784
Layer 1,1,0.5011,0.0191,0.5009
Layer 2,2,0.5042,0.0199,0.5037
Layer 3,3,0.515,0.0069,0.5143
Layer 4,4,0.5051,0.0109,0.5047
Layer 5,5,0.5121,0.0153,0.5115
Layer 6,6,0.509,0.017,0.5084
Layer 7,7,0.5196,0.0108,0.5186
Layer 8,8,0.5333,0.0114,0.5329
Layer 9,9,0.5209,0.0112,0.5204
Layer 10,10,0.5289,0.0045,0.5284
Layer 11,11,0.533,0.0062,0.5325
Layer 12,12,0.5299,0.0092,0.5293
Layer 13,13,0.541,0.0086,0.5408
Layer 14,14,0.5438,0.0191,0.5435
Layer 15,15,0.5462,0.0166,0.5459
Layer 16,16,0.5337,0.008,0.5332
Layer 17,17,0.5311,0.0172,0.5306
Layer 18,18,0.5247,0.0134,0.524
Layer 19,19,0.5264,0.0169,0.5256
Layer 20,20,0.5251,0.0123,0.5245
Layer 21,21,0.5242,0.0117,0.5239
Layer 22,22,0.5192,0.0158,0.5187
Layer 23,23,0.5288,0.0206,0.5282
Layer 24,24,0.5214,0.0185,0.5211
