Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7472,0.027,0.7464
Layer 1,1,0.7796,0.0216,0.7789
Layer 2,2,0.8063,0.0136,0.8055
Layer 3,3,0.8202,0.01,0.8181
Layer 4,4,0.8481,0.014,0.8459
Layer 5,5,0.8608,0.0144,0.8599
Layer 6,6,0.8423,0.0158,0.8415
Layer 7,7,0.8596,0.0198,0.8595
Layer 8,8,0.8306,0.0127,0.829
Layer 9,9,0.7888,0.0307,0.7874
Layer 10,10,0.7587,0.0412,0.7585
Layer 11,11,0.718,0.0347,0.7172
Layer 12,12,0.6624,0.0263,0.6605
Layer 13,13,0.6346,0.0126,0.634
Layer 14,14,0.5974,0.0121,0.597
Layer 15,15,0.5917,0.0115,0.5914
Layer 16,16,0.594,0.047,0.5917
Layer 17,17,0.5511,0.0218,0.5507
Layer 18,18,0.5382,0.0451,0.536
Layer 19,19,0.5139,0.03,0.5132
Layer 20,20,0.4698,0.0283,0.4695
Layer 21,21,0.4164,0.0251,0.417
Layer 22,22,0.3782,0.032,0.3763
Layer 23,23,0.3585,0.011,0.3587
Layer 24,24,0.3132,0.0053,0.3108
