Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6393,0.0348,0.6366
Layer 1,1,0.7084,0.038,0.7069
Layer 2,2,0.7327,0.0281,0.73
Layer 3,3,0.7682,0.0191,0.765
Layer 4,4,0.8374,0.0316,0.8328
Layer 5,5,0.8262,0.0226,0.8241
Layer 6,6,0.8598,0.0221,0.8591
Layer 7,7,0.8822,0.0163,0.8804
Layer 8,8,0.8561,0.0348,0.8549
Layer 9,9,0.8486,0.0411,0.8457
Layer 10,10,0.8449,0.0381,0.8416
Layer 11,11,0.8579,0.0216,0.8543
Layer 12,12,0.8206,0.0326,0.8164
Layer 13,13,0.8037,0.0132,0.7986
Layer 14,14,0.7907,0.0241,0.7845
Layer 15,15,0.8,0.0095,0.7941
Layer 16,16,0.7682,0.0191,0.7611
Layer 17,17,0.7645,0.0309,0.7572
Layer 18,18,0.7664,0.029,0.7595
Layer 19,19,0.7234,0.0268,0.7182
Layer 20,20,0.6953,0.0268,0.6887
Layer 21,21,0.6486,0.0327,0.6418
Layer 22,22,0.6131,0.0262,0.6048
Layer 23,23,0.5383,0.066,0.5359
Layer 24,24,0.4505,0.0304,0.4414
