Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.456,0.0359,0.453
Layer 1,1,0.4791,0.0401,0.4783
Layer 2,2,0.5488,0.0696,0.547
Layer 3,3,0.572,0.0451,0.5695
Layer 4,4,0.5975,0.0303,0.5961
Layer 5,5,0.6508,0.034,0.6494
Layer 6,6,0.6624,0.0315,0.6609
Layer 7,7,0.6868,0.0288,0.6862
Layer 8,8,0.696,0.0299,0.6944
Layer 9,9,0.7111,0.0278,0.7107
Layer 10,10,0.7238,0.0325,0.7231
Layer 11,11,0.74,0.0484,0.7399
Layer 12,12,0.7389,0.0247,0.7385
Layer 13,13,0.7111,0.018,0.7109
Layer 14,14,0.6879,0.0268,0.6863
Layer 15,15,0.6879,0.0095,0.6862
Layer 16,16,0.6821,0.0183,0.6802
Layer 17,17,0.6728,0.0333,0.6718
Layer 18,18,0.6798,0.037,0.6788
Layer 19,19,0.6844,0.033,0.6843
Layer 20,20,0.6763,0.0289,0.6758
Layer 21,21,0.6775,0.0246,0.6766
Layer 22,22,0.6462,0.0311,0.6468
Layer 23,23,0.6381,0.0321,0.6379
Layer 24,24,0.6451,0.0385,0.645
