Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6336,0.0371,0.6279
Layer 1,1,0.6766,0.0327,0.6723
Layer 2,2,0.729,0.0318,0.7169
Layer 3,3,0.7589,0.038,0.7512
Layer 4,4,0.785,0.0374,0.7783
Layer 5,5,0.8019,0.0342,0.7961
Layer 6,6,0.815,0.0456,0.8089
Layer 7,7,0.8411,0.0229,0.8389
Layer 8,8,0.8336,0.0247,0.832
Layer 9,9,0.828,0.0255,0.8263
Layer 10,10,0.8262,0.0233,0.825
Layer 11,11,0.8112,0.026,0.809
Layer 12,12,0.8,0.0248,0.7965
Layer 13,13,0.7963,0.0342,0.7935
Layer 14,14,0.7907,0.0327,0.7868
Layer 15,15,0.7757,0.043,0.7718
Layer 16,16,0.7776,0.044,0.7753
Layer 17,17,0.7682,0.038,0.7622
Layer 18,18,0.7813,0.0353,0.7768
Layer 19,19,0.7813,0.0367,0.7757
Layer 20,20,0.7794,0.0441,0.7761
Layer 21,21,0.7757,0.0251,0.7711
Layer 22,22,0.7682,0.0216,0.7641
Layer 23,23,0.7626,0.0293,0.7589
Layer 24,24,0.7776,0.0315,0.7736
