Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5145,0.0135,0.5138
Layer 1,1,0.5324,0.0214,0.532
Layer 2,2,0.5375,0.0218,0.5369
Layer 3,3,0.5438,0.013,0.5434
Layer 4,4,0.5264,0.0124,0.5258
Layer 5,5,0.5282,0.0157,0.5274
Layer 6,6,0.5421,0.0193,0.5417
Layer 7,7,0.5542,0.0164,0.5536
Layer 8,8,0.5597,0.0132,0.5588
Layer 9,9,0.5595,0.0113,0.5588
Layer 10,10,0.5707,0.0042,0.5703
Layer 11,11,0.5705,0.0138,0.57
Layer 12,12,0.5707,0.013,0.5705
Layer 13,13,0.5716,0.0175,0.571
Layer 14,14,0.5652,0.0197,0.5645
Layer 15,15,0.5753,0.0216,0.575
Layer 16,16,0.5672,0.0254,0.5666
Layer 17,17,0.569,0.0182,0.5688
Layer 18,18,0.5634,0.0141,0.5629
Layer 19,19,0.559,0.0134,0.5586
Layer 20,20,0.5482,0.011,0.5477
Layer 21,21,0.5511,0.022,0.5503
Layer 22,22,0.5522,0.0248,0.5519
Layer 23,23,0.5542,0.0239,0.5536
Layer 24,24,0.5599,0.0155,0.5595
