Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5589,0.0436,0.5572
Layer 1,1,0.6374,0.0482,0.6364
Layer 2,2,0.6766,0.0255,0.6701
Layer 3,3,0.7121,0.0298,0.705
Layer 4,4,0.7364,0.026,0.7327
Layer 5,5,0.7645,0.0298,0.7609
Layer 6,6,0.7738,0.0517,0.7703
Layer 7,7,0.7607,0.0327,0.7552
Layer 8,8,0.8,0.0441,0.795
Layer 9,9,0.7589,0.0485,0.7545
Layer 10,10,0.7664,0.0535,0.7615
Layer 11,11,0.7645,0.0499,0.7584
Layer 12,12,0.7178,0.0347,0.7127
Layer 13,13,0.6953,0.0381,0.6888
Layer 14,14,0.6729,0.0469,0.6649
Layer 15,15,0.6804,0.0352,0.6743
Layer 16,16,0.6822,0.0296,0.6725
Layer 17,17,0.6935,0.0216,0.6857
Layer 18,18,0.686,0.0226,0.6734
Layer 19,19,0.6579,0.0248,0.6505
Layer 20,20,0.6131,0.0348,0.6068
Layer 21,21,0.5589,0.0171,0.5523
Layer 22,22,0.5252,0.0513,0.5192
Layer 23,23,0.4879,0.0436,0.4786
Layer 24,24,0.443,0.0358,0.4319
