Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4977,0.0175,0.4934
Layer 1,1,0.5604,0.0202,0.5578
Layer 2,2,0.6149,0.0256,0.6128
Layer 3,3,0.6543,0.0197,0.6516
Layer 4,4,0.7065,0.0156,0.7045
Layer 5,5,0.6868,0.0272,0.6859
Layer 6,6,0.6775,0.0201,0.6755
Layer 7,7,0.6926,0.0061,0.6932
Layer 8,8,0.6415,0.0222,0.6407
Layer 9,9,0.6728,0.0243,0.6729
Layer 10,10,0.6647,0.0104,0.665
Layer 11,11,0.674,0.0216,0.6742
Layer 12,12,0.6647,0.0187,0.6637
Layer 13,13,0.6729,0.0121,0.6718
Layer 14,14,0.6636,0.0168,0.6609
Layer 15,15,0.6613,0.0327,0.658
Layer 16,16,0.6474,0.0244,0.6428
Layer 17,17,0.6415,0.0237,0.6375
Layer 18,18,0.6125,0.0384,0.6087
Layer 19,19,0.6323,0.0272,0.6292
Layer 20,20,0.6427,0.0243,0.6408
Layer 21,21,0.6357,0.0334,0.6331
Layer 22,22,0.6149,0.0298,0.6115
Layer 23,23,0.6149,0.0256,0.6105
Layer 24,24,0.6358,0.0229,0.6314
