Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4604,0.0259,0.4533
Layer 1,1,0.6083,0.0352,0.6047
Layer 2,2,0.6792,0.0414,0.673
Layer 3,3,0.7333,0.0358,0.7311
Layer 4,4,0.7208,0.0363,0.7183
Layer 5,5,0.7354,0.0243,0.7339
Layer 6,6,0.7271,0.0305,0.7251
Layer 7,7,0.7604,0.0295,0.7593
Layer 8,8,0.7583,0.0386,0.7584
Layer 9,9,0.7667,0.0346,0.7676
Layer 10,10,0.7688,0.0363,0.7665
Layer 11,11,0.7979,0.034,0.7957
Layer 12,12,0.8021,0.0378,0.8001
Layer 13,13,0.8104,0.029,0.8069
Layer 14,14,0.8042,0.0449,0.8008
Layer 15,15,0.8,0.0319,0.7964
Layer 16,16,0.8271,0.0399,0.8248
Layer 17,17,0.8146,0.0463,0.8127
Layer 18,18,0.8062,0.042,0.8053
Layer 19,19,0.8292,0.0268,0.8296
Layer 20,20,0.8146,0.049,0.8129
Layer 21,21,0.8042,0.0553,0.803
Layer 22,22,0.7917,0.0452,0.7904
Layer 23,23,0.7458,0.0358,0.7426
Layer 24,24,0.7083,0.0543,0.7041
