Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4785,0.0239,0.4744
Layer 1,1,0.5364,0.0377,0.5322
Layer 2,2,0.6112,0.0327,0.6056
Layer 3,3,0.6692,0.0403,0.6581
Layer 4,4,0.7065,0.0299,0.6985
Layer 5,5,0.7308,0.0331,0.7218
Layer 6,6,0.7047,0.0316,0.6918
Layer 7,7,0.7327,0.0201,0.7224
Layer 8,8,0.7551,0.007,0.7446
Layer 9,9,0.7421,0.0046,0.7333
Layer 10,10,0.7421,0.0262,0.7324
Layer 11,11,0.7215,0.028,0.7105
Layer 12,12,0.7252,0.0152,0.7147
Layer 13,13,0.7047,0.0226,0.6939
Layer 14,14,0.7065,0.0241,0.6976
Layer 15,15,0.6879,0.0281,0.6746
Layer 16,16,0.671,0.0361,0.6567
Layer 17,17,0.6879,0.0332,0.6774
Layer 18,18,0.6636,0.035,0.6541
Layer 19,19,0.6729,0.0296,0.6638
Layer 20,20,0.6523,0.0315,0.6434
Layer 21,21,0.6523,0.0292,0.6461
Layer 22,22,0.6505,0.0095,0.6443
Layer 23,23,0.643,0.0137,0.6374
Layer 24,24,0.6579,0.0218,0.6526
