Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5869,0.0478,0.5831
Layer 1,1,0.6766,0.0468,0.6707
Layer 2,2,0.7439,0.0433,0.7387
Layer 3,3,0.7757,0.0397,0.7693
Layer 4,4,0.7869,0.0247,0.7847
Layer 5,5,0.8168,0.0337,0.8137
Layer 6,6,0.8393,0.0286,0.8364
Layer 7,7,0.8579,0.0137,0.8567
Layer 8,8,0.8523,0.0171,0.85
Layer 9,9,0.843,0.0254,0.8397
Layer 10,10,0.8336,0.0137,0.831
Layer 11,11,0.8224,0.0156,0.8199
Layer 12,12,0.7981,0.0255,0.797
Layer 13,13,0.7907,0.0468,0.7879
Layer 14,14,0.7963,0.0394,0.7941
Layer 15,15,0.7888,0.0337,0.7874
Layer 16,16,0.785,0.0177,0.783
Layer 17,17,0.7757,0.0296,0.7735
Layer 18,18,0.7701,0.0192,0.7664
Layer 19,19,0.7776,0.0216,0.7745
Layer 20,20,0.7701,0.0218,0.7682
Layer 21,21,0.7589,0.0181,0.7559
Layer 22,22,0.729,0.0307,0.7252
Layer 23,23,0.729,0.0229,0.7263
Layer 24,24,0.7234,0.0372,0.7206
